| store_id| store_size| effective_dt_of_store_size| start_date| end_date| source_dt |
| 12      | L         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 12      | L         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 434     | M         | 2025-05-02                | 2025-05-02 00:00:00| 9999-12-31 23:59:59| 2025-05-02|
| 438     | L         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 438     | L         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 439     | M         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 439     | M         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 441     | L         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 441     | L         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 442     | L         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 442     | L         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 443     | L         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 443     | M         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 445     | L         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 445     | L         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 533     | L         | 2025-05-02                | 2025-05-02 00:00:00| 2025-05-03 23:59:59| 2025-05-02|
| 533     | L         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
| 536     | L         | 2025-05-02                | 2025-05-02 00:00:00| 9999-12-31 23:59:59| 2025-05-02|
| 537     | L         | 2025-05-02                | 2025-05-02 00:00:00| 9999-12-31 23:59:59| 2025-05-02|
| 999     | M         | 2025-05-04                | 2025-05-04 00:00:00| 9999-12-31 23:59:59| 2025-05-04|
